id;TITULO;NARRATIVA;VARIABLE;ES_INVERSA
SAIV_T_001;Optimización de Hardware;Supervisar la instalación y calibración de servidores físicos en un centro de datos.;T;No
SAIV_T_002;Mantenimiento de Robótica;Reparar y ajustar los brazos mecánicos de una línea de producción automatizada.;T;No
SAIV_T_003;Infraestructura de Red;Desplegar cableado de fibra óptica y configurar equipos de conmutación física.;T;No
SAIV_T_004;Sistemas de Energías Renovables;Instalar y mantener paneles solares y sistemas de almacenamiento de energía.;T;No
SAIV_T_005;Mecánica de Precisión;Desmontar y reconstruir motores de alto rendimiento para mejorar su eficiencia.;T;No
SAIV_T_006;Telecomunicaciones Críticas;Configurar antenas y sistemas de transmisión en torres de comunicación.;T;No
SAIV_T_007;Domótica Avanzada;Instalar sistemas físicos de control inteligente en edificios residenciales.;T;No
SAIV_T_008;Electrónica de Consumo;Reparar circuitos impresos y componentes internos de dispositivos móviles.;T;No
SAIV_T_009;Construcción Modular;Dirigir el ensamblaje de estructuras arquitectónicas prefabricadas.;T;No
SAIV_T_010;Soldadura Especializada;Realizar uniones de alta resistencia en estructuras metálicas complejas.;T;No
SAIV_T_011;Mantenimiento de Drones;Ajustar los componentes mecánicos y sensores físicos de drones industriales.;T;No
SAIV_T_012;Ingeniería de Planta;Supervisar el funcionamiento de calderas y sistemas de refrigeración industrial.;T;No
SAIV_T_013;Sistemas Hidráulicos;Reparar sistemas de bombeo y tuberías en plantas de tratamiento de agua.;T;No
SAIV_T_014;Automoción Eléctrica;Diagnosticar fallos en las baterías y sistemas de tracción de vehículos eléctricos.;T;No
SAIV_T_015;Logística Física;Operar maquinaria pesada para el movimiento de contenedores en un puerto.;T;No
SAIV_T_016;Impresión 3D Industrial;Configurar y calibrar máquinas de fabricación aditiva para piezas metálicas.;T;No
SAIV_T_017;Seguridad Física;Instalar cierres de seguridad y sistemas de acceso biométrico físicos.;T;No
SAIV_T_018;Técnico de Sonido en Vivo;Montar y cablear sistemas de altavoces y mesas de mezcla para grandes eventos.;T;No
SAIV_T_019;Refrigeración de Sistemas;Mantener los sistemas de climatización de grandes centros de computación.;T;No
SAIV_T_020;Montaje de Prototipos;Construir modelos físicos de nuevos productos para pruebas de ergonomía.;T;No
SAIV_T_021;Instalaciones Eléctricas;Diseñar y ejecutar el esquema eléctrico de una nueva nave industrial.;T;No
SAIV_T_022;Mantenimiento de Ascensores;Revisar y ajustar los sistemas de frenado y tracción de elevadores.;T;No
SAIV_T_023;Carpintería de Diseño;Construir muebles a medida utilizando herramientas eléctricas de precisión.;T;No
SAIV_T_024;Rechazo a lo Manual (INV);Prefieres trabajar exclusivamente con software, evitando cualquier contacto con hardware.;T;Sí
SAIV_T_025;Aversión al Taller (INV);Te resulta tedioso tener que usar herramientas para arreglar algo que se ha roto.;T;Sí
SAIV_C_001;Análisis de Datos Genómicos;Identificar patrones en secuencias de ADN mediante algoritmos complejos.;C;No
SAIV_C_002;Modelado Climático;Desarrollar modelos matemáticos para predecir el impacto del calentamiento global.;C;No
SAIV_C_003;Investigación Farmacéutica;Analizar la reacción de compuestos químicos para crear nuevas medicinas.;C;No
SAIV_C_004;Astronomía de Datos;Estudiar señales de radio del espacio profundo para descubrir nuevos exoplanetas.;C;No
SAIV_C_005;Neurociencia Cognitiva;Investigar cómo los neurotransmisores afectan al comportamiento humano.;C;No
SAIV_C_006;Matemáticas Aplicadas;Resolver problemas de optimización logística mediante el uso de cálculo avanzado.;C;No
