SECTOR;GRUPO;ID;TITULO;NARRATIVA;OPCION_A_TXT;OPCION_A_LOGIC;OPCION_B_TXT;OPCION_B_LOGIC;OPCION_C_TXT;OPCION_C_LOGIC;OPCION_D_TXT;OPCION_D_LOGIC
Psicología organizacional;Competencias personales;1;El Sobrino del CEO;El CEO te pide 'mirar con cariño' el CV de su sobrino para una vacante junior. El chico no cumple el perfil técnico, pero tiene 'soft skills' interesantes.;Le paso a la fase de entrevista para que tenga la experiencia, aunque sé que no pasará.;ethical_integrity -1;Le derivo a otro departamento donde quizás encaje mejor para no tener que rechazarle yo.;;Le incluyo en el proceso como 'candidato de cortesía', pero dejo que los técnicos decidan objetivamente.;;Explico al CEO que incluirle forzadamente dañaría la reputación de ambos y le ofrezco mentorizarle para el futuro.;ethical_integrity 1
Psicología organizacional;Competencias personales;2;Resultados de Clima;Los resultados de Clima Laboral han bajado un 2%. Tu jefe sugiere 'redondear' los decimales y cambiar la escala gráfica para que no parezca una caída.;Presento los datos reales pero acompaño el informe de un plan de acción sólido para revertir la tendencia.;ethical_integrity 1;Me centro en presentar solo las áreas que han mejorado para mantener la moral alta.;;Presento los datos en bruto sin interpretar, dejando que cada uno saque sus conclusiones.;;Acepto el ajuste cosmético en el gráfico, ya que el dato numérico sigue estando ahí.;ethical_integrity -1
Psicología organizacional;Competencias personales;3;El Top Performer Difícil;Tu mejor comercial hace comentarios 'bordeando' lo inapropiado. No es acoso flagrante, pero genera incomodidad. Si se va, perdéis un cliente clave.;Iniciamos un proceso de coaching obligatorio para corregir su conducta sin perder su talento.;;Separamos físicamente su mesa del resto del equipo para minimizar roces.;;Documento los incidentes y aplico el protocolo de conducta: advertencia formal.;ethical_integrity 1;Le doy un toque de atención informal 'entre amigos' para no tensar la cuerda.;ethical_integrity -1
Psicología organizacional;Competencias personales;4;Pregunta Indiscreta;El Director Financiero te pregunta en el café: '¿Es cierto que Laura (Directora de Marketing) se está divorciando? La veo distraída'. Tú lo sabes por una sesión privada.;Le sugiero que hable directamente con ella si nota algo en su rendimiento.;;Cambio de tema preguntándole por los resultados del trimestre.;;Respondo: 'No tengo información sobre su vida privada, pero a nivel profesional sigue cumpliendo'.;ethical_integrity 1;Digo: 'Creo que está pasando una racha personal compleja, hay que apoyarla'.;ethical_integrity -1
Psicología organizacional;Competencias personales;5;Recorte Presupuestario;Hay que recortar un 10%. Puedes eliminar el 'Programa de Liderazgo Joven' (impacto a 3 años) o la 'Convención Anual de Ventas' (impacto motivacional hoy).;Busco patrocinadores externos para financiar la Convención.;;Elimino el Programa de Liderazgo. Ahora necesitamos ventas y motivación inmediata.;strategic_vision -1;Protejo el Programa de Liderazgo y reduzco el coste de la Convención haciéndola híbrida.;strategic_vision 1;Aplico un recorte lineal del 10% a ambas partidas.;
Psicología organizacional;Competencias personales;6;Fusión de Empresas;Vuestra empresa ha sido comprada. La nueva matriz impone sus procesos rígidos.;Busco entender la lógica de los nuevos procesos y actúo como puente para ayudar a mi equipo a transicionar.;adaptability 1;Cumplo los nuevos procesos estrictamente aunque sean ineficientes.;;Sigo usando nuestros procesos antiguos 'por debajo del radar' mientras pueda.;adaptability -1;Propongo a la matriz mantener lo mejor de ambos mundos.;
Psicología organizacional;Competencias personales;7;Automatización de Tareas;Una nueva IA puede hacer el trabajo administrativo de 3 personas. Ellas llevan 10 años en la empresa.;No implemento la IA para proteger el empleo de leales colaboradores.;strategic_vision -1;Implemento la IA y negocio sus salidas indemnizadas.;;Implemento la IA y diseño un plan de reskilling para mover a esas personas a roles de valor añadido.;strategic_vision 1;Implemento la IA gradualmente esperando a que se jubilen (atrofia natural).;
Psicología organizacional;Competencias personales;8;Negociación Sindical;El Comité de Empresa amenaza con huelga por los nuevos turnos. Tienen parte de razón, pero la empresa no puede ceder en todo.;Ofrezco un bonus económico puntual a cambio de aceptar los turnos.;;Propongo una mesa de diálogo abierta para buscar contrapartidas no económicas que les satisfagan.;influence_negotiation 1;Me mantengo firme en la propuesta de la empresa. Si cedes una vez, cedes siempre.;influence_negotiation -1;Busco a los líderes informales de la plantilla para explicarles la necesidad del cambio.;
Psicología organizacional;Competencias personales;9;Proyecto Transversal;Lideras un proyecto de cambio cultural pero los directores de área no te hacen caso. No son tus subordinados.;Convoco reuniones de seguimiento semanales para insistir.;;Identifico los dolores (pain points) de cada director y vinculo el proyecto a SUS objetivos.;influence_negotiation 1;Pido al CEO que mande un email obligándoles a colaborar.;influence_negotiation -1;Empiezo con los directores más afines para crear tracción y efecto contagio.;
Psicología organizacional;Competencias personales;10;Conflicto Marketing vs Ventas;Los directores de Marketing y Ventas se culpan mutuamente de no llegar a objetivos.;Elevo el conflicto al Director General para que arbitre.;;Les doy la razón a ambos por separado para calmar las aguas.;influence_negotiation -1;Facilito una sesión conjunta enfocada en el 'Customer Journey' para alinear objetivos comunes.;influence_negotiation 1;Establezco KPIs compartidos que obliguen a la colaboración.;
